Tempo;CasADi_Pwh_Bar;Linear_Pwh_Bar
1806;1302,8504450857893;106,59066842932137
1807;1303,1293566057166;106,58889458949345
1808;1303,4095075404011;106,58706866925932
1809;1303,6908818447462;106,58519083611705
1810;1303,9734634713088;106,583261257889
1811;1304,2572363707495;106,58128010271868
1812;1304,5421844922805;106,57924753906704
1813;1304,8282917841182;106,57716373570943
1814;1305,115542193933;106,57502886173202
1815;1305,4039196693025;106,5728430865285
1816;1305,6934081581612;106,57060657979676
1817;1305,9838153624144;106,56831951153548
1818;1306,2753066421392;106,56598205204081
1819;1306,5678659745254;106,563594371903
1820;1306,861477332816;106,5611566420031
1821;1307,1561246880667;106,5586690335096
1822;1307,4517920106116;106,5561317178751
1823;1307,7484632712979;106,55354486683298
1824;1308,0461224425494;106,55090865239409
1825;1308,3447534992865;106,54822324684345
1826;1308,6443404197446;106,54548882273687
1827;1308,9448671862085;106,54270555289777
1828;1309,246317785686;106,53987361041371
1829;1309,5486762105284;106,53699316863326
1830;1309,8519264590175;106,53406440116258
1831;1310,1560525359234;106,53108748186222
1832;1310,4610384530345;106,52806258484377
1833;1310,7668682296785;106,52498988446663
1834;1311,0735258932234;106,52186955533479
1835;1311,3809954795715;106,51870177229337
1836;1311,6892610336463;106,51548671042559
1837;1311,9983066098716;106,5122245450494
1838;1312,3081162726485;106,50891545171422
1839;1312,618674096826;106,50555960619768
1840;1312,9299641681728;106,50215718450252
1841;1313,2419705838463;106,49870836285315
1842;1313,554677452858;106,49521331769257
1843;1313,8680688965408;106,4916722256791
1844;1314,1821290490152;106,48808526368316
1845;1314,4968420576556;106,48445260878404
1846;1314,8121920835554;106,48077443826675
1847;1315,1281633019923;106,47705092961871
1848;1315,4447399028954;106,47328226052672
1849;1315,7619060913114;106,46946860887356
1850;1316,0796460878707;106,46561015273502
1851;1316,3979441292552;106,46170707037658
1852;1316,716784468665;106,45775954025022
1853;1317,0361513762887;106,4537677409914
1854;1317,356029139769;106,44973185141575
1855;1317,6764020646747;106,44565205051599
1856;1317,997254474968;106,44152851745875
1857;1318,3185707134776;106,43736143158145
1858;1318,640335142367;106,43315097238913
1859;1318,9625321436074;106,42889731955131
1860;1319,2851461194496;106,42460065289896
1861;1319,6081614928964;106,42026115242123
1862;1319,9315627081758;106,41587899826249
1863;1320,255334231215;106,41145437071907
1864;1320,5794605501158;106,40698745023627
1865;1320,9039261756272;106,40247841740522
1866;1321,228715641625;106,39792745295983
1867;1321,5538135055835;106,3933347377736
1868;1321,8792043490548;106,38870045285668
1869;1322,2048727781453;106,3840247793527
1870;1322,530803423995;106,37930789853574
1871;1322,8569809432533;106,3745499918073
1872;1323,1833900185604;106,3697512406932
1873;1323,5100153590251;106,36491182684053
1874;1323,8368417007061;106,36003193201464
1875;1324,1638538070915;106,35511173809614
1876;1324,49103646958;106,35015142707778
1877;1324,818374507962;106,34515118106151
1878;1325,145852770903;106,34011118225543
1879;1325,4734561364237;106,3350316129708
1880;1325,801169512385;106,329912655619
1881;1326,1289778369692;106,32475449270859
1882;1326,456866079165;106,3195573068423
1883;1326,7848192392505;106,31432128071405
1884;1327,112822349279;106,30904659710595
1885;1327,4408604735613;106,3037334388854
1886;1327,7689187091537;106,29838198900201
1887;1328,0969821863407;106,2929924304848
1888;1328,4250360691221;106,28756494643912
1889;1328,753065555698;106,2820997200438
1890;1329,0810558789553;106,27659693454814
1891;1329,4089923069544;106,27105677326907
1892;1329,7368601434148;106,26547941958813
1893;1330,0646447282024;106,25986505694864
1894;1330,392331437817;106,25421386885277
1895;1330,7199056858772;106,24852603885863
1896;1331,04735292361;106,24280175057733
1897;1331,3746586403358;106,23704118767023
1898;1331,7018083639566;106,23124453384595
1899;1332,0287876614427;106,22541197285746
1900;1332,3555821393206;106,21954368849939
1901;1332,6821774441592;106,21363986460497
1902;1333,0085592630576;106,20770068504338
